"Fact","Fact Note","Craven County, North Carolina","Value Note for Craven County, North Carolina","Chowan County, North Carolina","Value Note for Chowan County, North Carolina","Camden County, North Carolina","Value Note for Camden County, North Carolina","Bertie County, North Carolina","Value Note for Bertie County, North Carolina","Pender County, North Carolina","Value Note for Pender County, North Carolina","Onslow County, North Carolina","Value Note for Onslow County, North Carolina"
"Total accommodation and food services sales, 2012 ($1,000)","(c)","D","","19,059","","1,540","","6,481","","50,456","","353,051",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","715,386","","94,052","","1,437","","63,446","","97,306","","491,728",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","1,261,429","","451,182","","X","","D","","191,360","","270,979",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","D","","196,743","","4,108","","145,604","","179,439","","139,069",""
"Total retail sales, 2012 ($1,000)","(c)","1,213,554","","119,177","","24,903","","95,917","","386,690","","2,213,042",""
"Total retail sales per capita, 2012","(c)","$11,583","","$8,068","","$2,468","","$4,644","","$7,135","","$12,076",""
"Mean travel time to work (minutes), workers age 16 years+, 2013-2017","","21.6","","28.2","","33.7","","24.8","","28.9","","21.4",""
"Median household income (in 2017 dollars), 2013-2017","","$49,391","","$41,979","","$68,327","","$31,287","","$49,357","","$48,162",""
"Per capita income in past 12 months (in 2017 dollars), 2013-2017","","$26,830","","$23,542","","$27,468","","$18,319","","$25,997","","$23,141",""
"Persons in poverty, percent","","16.3%","","17.6%","","8.0%","","27.2%","","12.6%","","13.5%",""
"Total employer establishments, 2016","","2,100","","349","","121","","303","","1,016","","2,752",""
"Total employment, 2016","","28,007","","3,751","","622","","4,473","","8,388","","35,716",""
"Total annual payroll, 2016 ($1,000)","","1,059,110","","127,924","","15,993","","124,881","","257,394","","994,488",""
"Total employment, percent change, 2015-2016","","2.7%","","2.9%","","17.4%","","-8.4%","","-0.4%","","0.6%",""
"Total nonemployer establishments, 2017","","5,967","","988","","700","","896","","4,438","","10,201",""
"All firms, 2012","","6,409","","1,459","","742","","1,390","","4,448","","10,610",""
"Men-owned firms, 2012","","2,912","","768","","485","","837","","2,442","","5,499",""
"Women-owned firms, 2012","","2,680","","464","","191","","472","","1,580","","3,798",""
"Minority-owned firms, 2012","","1,153","","182","","113","","486","","676","","1,660",""
"Nonminority-owned firms, 2012","","4,952","","1,216","","618","","851","","3,644","","8,636",""
"Veteran-owned firms, 2012","","779","","244","","249","","153","","360","","1,513",""
"Nonveteran-owned firms, 2012","","5,173","","1,117","","469","","1,172","","3,900","","8,386",""
"Population per square mile, 2010","","146.0","","85.8","","41.5","","30.4","","60.0","","233.1",""
"Land area in square miles, 2010","","708.96","","172.47","","240.56","","699.27","","869.80","","762.74",""
"FIPS Code","","""37049""","","""37041""","","""37029""","","""37015""","","""37141""","","""37133""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
