"Fact","Fact Note","Jones County, North Carolina","Value Note for Jones County, North Carolina","Hyde County, North Carolina","Value Note for Hyde County, North Carolina","Hertford County, North Carolina","Value Note for Hertford County, North Carolina","Gates County, North Carolina","Value Note for Gates County, North Carolina","Dare County, North Carolina","Value Note for Dare County, North Carolina","Currituck County, North Carolina","Value Note for Currituck County, North Carolina"
"Language other than English spoken at home, percent of persons age 5 years+, 2013-2017","","4.5%","","10.8%","","5.5%","","2.7%","","6.6%","","3.6%",""
"Households with a computer, percent, 2013-2017","","72.9%","","72.4%","","73.1%","","77.0%","","92.8%","","89.7%",""
"Households with a broadband Internet subscription, percent, 2013-2017","","55.5%","","47.5%","","56.8%","","63.6%","","84.8%","","80.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2013-2017","","81.8%","","79.4%","","80.0%","","86.0%","","93.2%","","87.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2013-2017","","14.2%","","7.2%","","15.3%","","15.7%","","29.8%","","22.9%",""
"With a disability, under age 65 years, percent, 2013-2017","","18.3%","","10.6%","","14.4%","","14.2%","","9.9%","","11.1%",""
"Persons  without health insurance, under age 65 years, percent","","15.6%","","15.7%","","11.9%","","11.7%","","13.0%","","12.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2013-2017","","54.1%","","50.9%","","50.6%","","58.2%","","66.4%","","62.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2013-2017","","48.4%","","55.0%","","55.4%","","53.8%","","62.7%","","57.2%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","D","","D","","29,002","","D","","D","","D",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","47,658","","D","","155,755","","7,008","","D","","17,955",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","D","","D","","D","","D","","47,840","","D",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","D","","84,767","","38,670","","22,996","","D","","58,697",""
"Total retail sales, 2012 ($1,000)","(c)","33,706","","30,415","","254,917","","43,630","","863,879","","275,248",""
"Total retail sales per capita, 2012","(c)","$3,280","","$5,191","","$10,431","","$3,676","","$24,987","","$11,432",""
"Mean travel time to work (minutes), workers age 16 years+, 2013-2017","","27.4","","24.7","","24.2","","36.5","","20.2","","37.2",""
"Median household income (in 2017 dollars), 2013-2017","","$37,256","","$40,532","","$35,806","","$52,481","","$55,640","","$65,758",""
"Per capita income in past 12 months (in 2017 dollars), 2013-2017","","$21,058","","$19,181","","$18,383","","$24,335","","$30,898","","$29,340",""
"Persons in poverty, percent","","22.3%","","21.9%","","24.4%","","15.7%","","9.4%","","10.7%",""
"Total employer establishments, 2016","","128","","157","","476","","121","","1,878","","631",""
"Total employment, 2016","","835","","812","","7,494","","845","","14,227","","4,413",""
"Total annual payroll, 2016 ($1,000)","","24,689","","25,250","","257,309","","22,705","","488,529","","151,065",""
"Total employment, percent change, 2015-2016","","2.8%","","5.5%","","3.1%","","18.5%","","4.1%","","-10.7%",""
"Total nonemployer establishments, 2017","","565","","572","","1,044","","526","","5,306","","2,166",""
"All firms, 2012","","824","","581","","1,120","","471","","6,113","","2,426",""
"Men-owned firms, 2012","","416","","326","","590","","307","","3,284","","1,429",""
"Women-owned firms, 2012","","329","","87","","379","","105","","1,501","","604",""
"Minority-owned firms, 2012","","142","","46","","549","","160","","362","","117",""
"Nonminority-owned firms, 2012","","664","","502","","488","","279","","5,575","","2,266",""
"Veteran-owned firms, 2012","","78","","F","","89","","50","","467","","328",""
"Nonveteran-owned firms, 2012","","696","","522","","943","","389","","5,282","","1,908",""
"Population per square mile, 2010","","21.6","","9.5","","69.9","","35.8","","88.5","","89.9",""
"Land area in square miles, 2010","","470.71","","612.70","","353.06","","340.45","","383.42","","261.85",""
"FIPS Code","","""37103""","","""37095""","","""37091""","","""37073""","","""37055""","","""37053""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
