"Fact","Fact Note","New Hanover County, North Carolina","Value Note for New Hanover County, North Carolina","Nash County, North Carolina","Value Note for Nash County, North Carolina","Columbus County, North Carolina","Value Note for Columbus County, North Carolina","Carteret County, North Carolina","Value Note for Carteret County, North Carolina","Brunswick County, North Carolina","Value Note for Brunswick County, North Carolina","Beaufort County, North Carolina","Value Note for Beaufort County, North Carolina"
"White alone, not Hispanic or Latino, percent","","77.4%","","49.4%","","59.3%","","86.5%","","82.1%","","65.7%",""
"Veterans, 2013-2017","","15,221","","6,610","","3,489","","8,273","","13,320","","3,153",""
"Foreign born persons, percent, 2013-2017","","5.0%","","4.3%","","3.2%","","3.5%","","4.2%","","3.6%",""
"Housing units,  July 1, 2018,  (V2018)","","113,215","","43,143","","26,362","","50,725","","92,264","","26,265",""
"Owner-occupied housing unit rate, 2013-2017","","57.4%","","65.3%","","70.9%","","72.7%","","77.2%","","70.8%",""
"Median value of owner-occupied housing units, 2013-2017","","$225,600","","$123,100","","$85,200","","$197,700","","$194,700","","$123,600",""
"Median selected monthly owner costs -with a mortgage, 2013-2017","","$1,498","","$1,179","","$1,032","","$1,368","","$1,338","","$1,219",""
"Median selected monthly owner costs -without a mortgage, 2013-2017","","$506","","$400","","$380","","$421","","$436","","$460",""
"Median gross rent, 2013-2017","","$938","","$734","","$607","","$864","","$883","","$691",""
"Building permits, 2018","","1,918","","196","","47","","378","","2,926","","140",""
"Households, 2013-2017","","91,673","","36,878","","22,462","","30,000","","53,104","","18,978",""
"Persons per household, 2013-2017","","2.32","","2.50","","2.39","","2.25","","2.29","","2.47",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2013-2017","","81.7%","","87.0%","","87.4%","","84.8%","","83.8%","","94.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2013-2017","","6.5%","","6.7%","","6.0%","","5.8%","","5.2%","","6.1%",""
"Households with a computer, percent, 2013-2017","","89.7%","","79.9%","","71.2%","","88.9%","","89.2%","","74.2%",""
"Households with a broadband Internet subscription, percent, 2013-2017","","81.5%","","68.7%","","57.6%","","79.4%","","77.6%","","60.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2013-2017","","92.3%","","85.1%","","80.6%","","90.8%","","89.1%","","85.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2013-2017","","38.9%","","20.3%","","12.5%","","26.7%","","28.0%","","19.6%",""
"With a disability, under age 65 years, percent, 2013-2017","","8.7%","","11.2%","","14.5%","","14.9%","","12.3%","","12.8%",""
"Persons  without health insurance, under age 65 years, percent","","12.3%","","12.3%","","14.8%","","12.7%","","13.5%","","13.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2013-2017","","63.3%","","61.0%","","48.3%","","56.8%","","50.9%","","54.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2013-2017","","59.8%","","57.9%","","47.3%","","53.2%","","47.1%","","51.0%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","623,342","","166,687","","52,247","","164,400","","180,820","","50,147",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","1,277,398","","349,427","","246,501","","283,725","","326,561","","186,547",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","2,449,546","","3,184,367","","900,932","","343,677","","1,982,957","","1,462,057",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","1,189,386","","2,693,864","","295,184","","85,729","","237,118","","360,748",""
"Total retail sales, 2012 ($1,000)","(c)","3,871,707","","1,234,476","","553,126","","972,796","","1,125,773","","548,353",""
"Total retail sales per capita, 2012","(c)","$18,504","","$12,898","","$9,597","","$14,384","","$10,029","","$11,543",""
"Mean travel time to work (minutes), workers age 16 years+, 2013-2017","","20.4","","21.9","","26.4","","23.2","","24.2","","25.1",""
"Median household income (in 2017 dollars), 2013-2017","","$51,457","","$46,187","","$36,261","","$51,584","","$51,164","","$41,101",""
"Per capita income in past 12 months (in 2017 dollars), 2013-2017","","$31,708","","$25,232","","$21,849","","$30,903","","$29,707","","$24,657",""
"Persons in poverty, percent","","15.5%","","15.8%","","23.1%","","13.3%","","11.9%","","22.0%",""
"Total employer establishments, 2016","","7,275","","2,028","","990","","1,931","","2,448","","1,099",""
"Total employment, 2016","","95,838","","36,538","","11,463","","18,618","","25,315","","13,552",""
"Total annual payroll, 2016 ($1,000)","","4,046,228","","1,355,050","","398,581","","584,751","","898,249","","461,788",""
"Total employment, percent change, 2015-2016","","5.6%","","0.2%","","4.6%","","0.1%","","2.7%","","0.1%",""
"Total nonemployer establishments, 2017","","19,879","","5,979","","3,251","","6,358","","10,722","","3,214",""
"All firms, 2012","","24,939","","7,041","","4,395","","7,585","","10,065","","4,088",""
"Men-owned firms, 2012","","13,879","","3,613","","2,596","","4,138","","5,793","","2,225",""
"Women-owned firms, 2012","","8,044","","2,562","","1,294","","2,293","","3,259","","1,299",""
"Minority-owned firms, 2012","","2,873","","2,498","","823","","403","","1,172","","920",""
"Nonminority-owned firms, 2012","","21,115","","4,239","","3,388","","6,869","","8,681","","3,044",""
"Veteran-owned firms, 2012","","2,542","","757","","502","","1,134","","1,534","","454",""
"Nonveteran-owned firms, 2012","","20,861","","5,775","","3,573","","5,810","","7,882","","3,277",""
"Population per square mile, 2010","","1,058.1","","177.3","","62.0","","131.3","","126.8","","57.7",""
"Land area in square miles, 2010","","191.53","","540.41","","937.29","","506.25","","846.97","","827.19",""
"FIPS Code","","""37129""","","""37127""","","""37047""","","""37031""","","""37019""","","""37013""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
